fish_key,fish_label,year,origin_pref,qty,amt,price,rank_in_fish_year
うるめいわし,うるめいわし,2000,長崎県,1754,351750,200.54161915621438,5
うるめいわし,うるめいわし,2000,鳥取県,1040,255675,245.84134615384616,6
うるめいわし,うるめいわし,2000,福島県,1103,108360,98.24116047144152,7
うるめいわし,うるめいわし,2000,宮城県,228,39900,175.0,8
うるめいわし,うるめいわし,2000,三重県,333,34335,103.10810810810811,9
うるめいわし,うるめいわし,2000,富山県,228,27720,121.57894736842105,10
かいみぬき,かいみぬき,2000,兵庫県,7569,19321119,2552.66468489893,1
かいみぬき,かいみぬき,2000,大阪府,5953,13939453,2341.5845792037626,2
かいみぬき,かいみぬき,2000,山口県,2937,9656920,3288.0217909431394,3
かいみぬき,かいみぬき,2000,北海道,6410,8787621,1370.923712948518,4
かいみぬき,かいみぬき,2000,石川県,3342,5355923,1602.6101137043686,5
かいみぬき,かいみぬき,2000,東京都,262,1604400,6123.664122137405,6
かいみぬき,かいみぬき,2000,愛知県,769,497595,647.0676202860858,7
かいみぬき,かいみぬき,2000,福岡県,83,254574,3067.156626506024,8
かいみぬき,かいみぬき,2000,宮城県,118,108309,917.8728813559322,9
かいみぬき,かいみぬき,2000,長崎県,36,88673,2463.1388888888887,10
かき,かき,2000,石川県,198490,184105735,927.5315381127513,1
かき,かき,2000,広島県,92813,68998251,743.4114940794932,2
かき,かき,2000,山口県,58666,48994086,835.1359560904101,3
かき,かき,2000,宮城県,19166,16280989,849.4724512156945,4
かき,かき,2000,岡山県,7174,5977841,833.2647058823529,5
かき,かき,2000,岩手県,6666,5000275,750.1162616261627,6
かき,かき,2000,富山県,8461,2649382,313.1287081905212,7
かき,かき,2000,福井県,2588,2025934,782.8183925811437,8
かき,かき,2000,三重県,2417,1347739,557.6081919735209,9
かき,かき,2000,新潟県,1942,501293,258.1323377960865,10
かす漬たら,かす漬たら,2000,宮城県,12948,5024799,388.07530120481925,1
かす漬たら,かす漬たら,2000,富山県,4377,1548950,353.88393877084764,2
かす漬たら,かす漬たら,2000,石川県,193,93083,482.2953367875648,3
かす漬たら,かす漬たら,2000,大阪府,20,15120,756.0,4
かす漬たら,かす漬たら,2000,北海道,64,4200,65.625,5
かす漬ふぐ,かす漬ふぐ,2000,山口県,140,143052,1021.8,1
かす漬ふぐ,かす漬ふぐ,2000,石川県,1,3544,3544.0,2
かたくちいわし,かたくちいわし,2000,三重県,21993,3693066,167.92006547537852,1
かたくちいわし,かたくちいわし,2000,石川県,19764,2976782,150.6163732038049,2
かたくちいわし,かたくちいわし,2000,千葉県,5208,644858,123.82066052227343,3
